market,geography_type,indicator_name,indicator_value,indicator_unit,data_source,notes
Dallas,Metro,office_tax_per_sf,5.96,$/SF,Calculated from assessed values,Annual property tax per office square foot
Dallas,Metro,ontime_payment_rate,90,%,County Treasurer,Commercial property on-time payment rate
Dallas,Metro,properties_assessment_spike_15pct,25.8,%,Analysis Estimate,Est. % of properties with YoY assessment increase >15%
Dallas,Metro,properties_overassessed_110pct,19.8,%,Analysis Estimate,Est. % of properties assessed >110% of recent sale price
Dallas,Metro,properties_receiving_abatements,16.8,%,Assessor/Economic Development,Percentage of commercial properties receiving abatements
Dallas,Metro,property_tax_as_pct_noi,24.2,%,Industry Analysis,Property tax as percentage of net operating income
Dallas,Metro,retail_assessed_value_psf,195,$/SF,CoStar/Assessor Data,Average retail assessed value per square foot
Dallas,Metro,retail_assessment_yoy_growth,12.8,%,Assessor Data,Year-over-year retail assessment growth
Dallas,Metro,retail_tax_per_sf,5.17,$/SF,Calculated from assessed values,Annual property tax per retail square foot
Dallas,Metro,sales_comparison_usage,52,%,IAAO/Assessor Reports,Percentage using sales comparison approach
Dallas,Metro,tax_burden_rank,4,rank,Comparative Analysis,Tax burden ranking (1=highest burden)
Dallas,Metro,tax_lien_interest_rate,12.0,%_annual,County Treasurer,Interest rate on tax liens
Dallas,Metro,tax_lien_properties_sold,285,number,County Treasurer,Annual count of commercial properties at tax lien sale
Dallas,Metro,tax_lien_sale_frequency,Semi-Annual,text,County Treasurer,Frequency of tax lien sales
Dallas,Metro,tax_rate_5yr_change,38.5,%,Lincoln Institute/Local Data,5-year change in effective tax rate
Dallas,Metro,tif_district_count,25,number,Economic Development Office,Number of active Tax Increment Financing districts
Dallas,Metro,total_abatement_value,185,$MM,Economic Development,Total annual value of tax abatements granted
Dallas,Metro,typical_abatement_value,70,%,Economic Development,Typical percentage reduction for major abatement programs
Dallas,Metro,typical_bid_assessment,0.32,$/SF,BID Reports,Typical Business Improvement District assessment per SF
Denver,Metro,abatement_duration,10,years,Economic Development,Typical duration of tax abatement in years
Denver,Metro,abatement_programs_count,4,number,Economic Development,Number of active tax abatement/exemption programs
Denver,Metro,affordable_housing_exemption,90,%,Housing Authority,Typical exemption percentage for qualifying affordable housing
Denver,Metro,appeal_filing_rate,24,%,Assessor/Appeal Board Data,Percentage of commercial assessments appealed
Denver,Metro,appeal_resolution_time,8,months,Appeal Board Data,Median time from filing to resolution
Denver,Metro,appeal_success_rate,46,%,Appeal Board Data,Percentage of appeals resulting in assessment reduction
Denver,Metro,assessment_frequency,Biennial,text,County Assessor,Reassessment cycle frequency
Denver,Metro,assessment_lag,10,months,Assessor Data,Lag between sale and reflected assessment
Denver,Metro,assessment_to_market_ratio,100,%,County Assessor,Target assessment as % of market value
Denver,Metro,assessment_to_sales_ratio,100,%,Assessor Data,Average assessment as % of actual sale price
Denver,Metro,average_appeal_cost,2800,$,Tax Consultant Surveys,Average cost to file and pursue property tax appeal
Denver,Metro,avg_appeal_reduction,13.5,%,Appeal Board Data,Average assessment reduction on successful appeal
Denver,Metro,avg_days_delinquent,142,days,County Treasurer,Average days delinquent for late payments
Denver,Metro,bid_district_count,10,number,Economic Development,Number of Business Improvement Districts
Denver,Metro,coefficient_of_dispersion,15.2,ratio,IAAO Standards,"Coefficient of dispersion (lower = more uniform, target <15)"
Denver,Metro,delinquency_rate,5.2,%,County Treasurer,Commercial property delinquency rate (90+ days)
Denver,Metro,effective_property_tax_rate,1.65,%,Altus Group/Lincoln Institute,Effective commercial property tax rate
Denver,Metro,historic_property_exemption,40,%,Historic Preservation Office,Typical percentage reduction for historic properties
Denver,Metro,hotel_assessed_value_per_key,155000,$/key,CoStar/Assessor Data,Average hotel assessed value per room
Denver,Metro,income_approach_usage,50,%,IAAO/Assessor Reports,Percentage of commercial assessments using income approach
Denver,Metro,industrial_assessed_value_psf,175,$/SF,CoStar/Assessor Data,Average industrial assessed value per square foot
Denver,Metro,industrial_assessment_yoy_growth,15.2,%,Assessor Data,Year-over-year industrial assessment growth
Denver,Metro,industrial_tax_per_sf,2.89,$/SF,Calculated from assessed values,Annual property tax per industrial square foot
Denver,Metro,late_payment_penalty_rate,10.0,%_annual,County Code,Annual penalty rate for late payment
Denver,Metro,millage_rate,16.5,mills,County Assessor,"Millage rate per $1,000 assessed value"
Denver,Metro,multifamily_assessed_value_per_unit,265000,$/unit,CoStar/Assessor Data,Average multifamily assessed value per unit
Denver,Metro,multifamily_assessed_value_psf,275,$/SF,CoStar/Assessor Data,Average multifamily assessed value per square foot
Denver,Metro,multifamily_assessment_yoy_growth,12.5,%,Assessor Data,Year-over-year multifamily assessment growth
Denver,Metro,multifamily_tax_per_unit,4368,$/unit,Calculated from assessed values,Annual property tax per multifamily unit
Denver,Metro,office_assessed_value_psf,295,$/SF,CoStar/Assessor Data,Average office assessed value per square foot
Denver,Metro,office_assessment_yoy_growth,2.5,%,Assessor Data,Year-over-year office assessment growth
Denver,Metro,office_tax_per_sf,4.87,$/SF,Calculated from assessed values,Annual property tax per office square foot
Denver,Metro,ontime_payment_rate,94,%,County Treasurer,Commercial property on-time payment rate
Denver,Metro,properties_assessment_spike_15pct,18.5,%,Analysis Estimate,Est. % of properties with YoY assessment increase >15%
Denver,Metro,properties_overassessed_110pct,13.5,%,Analysis Estimate,Est. % of properties assessed >110% of recent sale price
Denver,Metro,properties_receiving_abatements,11.5,%,Assessor/Economic Development,Percentage of commercial properties receiving abatements
Denver,Metro,property_tax_as_pct_noi,17.8,%,Industry Analysis,Property tax as percentage of net operating income
Denver,Metro,retail_assessed_value_psf,265,$/SF,CoStar/Assessor Data,Average retail assessed value per square foot
Denver,Metro,retail_assessment_yoy_growth,10.5,%,Assessor Data,Year-over-year retail assessment growth
Denver,Metro,retail_tax_per_sf,4.37,$/SF,Calculated from assessed values,Annual property tax per retail square foot
Denver,Metro,sales_comparison_usage,50,%,IAAO/Assessor Reports,Percentage using sales comparison approach
Denver,Metro,tax_burden_rank,8,rank,Comparative Analysis,Tax burden ranking (1=highest burden)
Denver,Metro,tax_lien_interest_rate,10.0,%_annual,County Treasurer,Interest rate on tax liens
Denver,Metro,tax_lien_properties_sold,85,number,County Treasurer,Annual count of commercial properties at tax lien sale
Denver,Metro,tax_lien_sale_frequency,Annual,text,County Treasurer,Frequency of tax lien sales
Denver,Metro,tax_rate_5yr_change,25.8,%,Lincoln Institute/Local Data,5-year change in effective tax rate
Denver,Metro,tif_district_count,32,number,Economic Development Office,Number of active Tax Increment Financing districts
Denver,Metro,total_abatement_value,55,$MM,Economic Development,Total annual value of tax abatements granted
Denver,Metro,typical_abatement_value,50,%,Economic Development,Typical percentage reduction for major abatement programs
Denver,Metro,typical_bid_assessment,0.38,$/SF,BID Reports,Typical Business Improvement District assessment per SF
Los Angeles,Metro,abatement_duration,10,years,Economic Development,Typical duration of tax abatement in years
Los Angeles,Metro,abatement_programs_count,4,number,Economic Development,Number of active tax abatement/exemption programs
Los Angeles,Metro,affordable_housing_exemption,100,%,Housing Authority,Typical exemption percentage for qualifying affordable housing
Los Angeles,Metro,appeal_filing_rate,18,%,Assessor/Appeal Board Data,Percentage of commercial assessments appealed
Los Angeles,Metro,appeal_resolution_time,9,months,Appeal Board Data,Median time from filing to resolution
Los Angeles,Metro,appeal_success_rate,38,%,Appeal Board Data,Percentage of appeals resulting in assessment reduction
Los Angeles,Metro,assessment_frequency,Annual,text,County Assessor,Reassessment cycle frequency
Los Angeles,Metro,assessment_lag,6,months,Assessor Data,Lag between sale and reflected assessment
Los Angeles,Metro,assessment_to_market_ratio,Prop 13,text,County Assessor,California Prop 13: Assessment at acquisition price + max 2% annual
Los Angeles,Metro,assessment_to_sales_ratio,Prop13,text,Assessor Data,"CA Prop 13: Assessed at acquisition, not market value"
Los Angeles,Metro,average_appeal_cost,3500,$,Tax Consultant Surveys,Average cost to file and pursue property tax appeal
Los Angeles,Metro,avg_appeal_reduction,12.8,%,Appeal Board Data,Average assessment reduction on successful appeal
Los Angeles,Metro,avg_days_delinquent,165,days,County Treasurer,Average days delinquent for late payments
Los Angeles,Metro,bid_district_count,42,number,Economic Development,Number of Business Improvement Districts
Los Angeles,Metro,coefficient_of_dispersion,14.2,ratio,IAAO Standards,"Coefficient of dispersion (lower = more uniform, target <15)"
Los Angeles,Metro,delinquency_rate,8.5,%,County Treasurer,Commercial property delinquency rate (90+ days)
Los Angeles,Metro,effective_property_tax_rate,1.2,%,Altus Group/Lincoln Institute,Effective commercial property tax rate
Los Angeles,Metro,historic_property_exemption,50,%,Historic Preservation Office,Typical percentage reduction for historic properties
Los Angeles,Metro,hotel_assessed_value_per_key,165000,$/key,CoStar/Assessor Data,Average hotel assessed value per room
Los Angeles,Metro,income_approach_usage,45,%,IAAO/Assessor Reports,Percentage of commercial assessments using income approach
Los Angeles,Metro,industrial_assessed_value_psf,185,$/SF,CoStar/Assessor Data,Average industrial assessed value per square foot
Los Angeles,Metro,industrial_assessment_yoy_growth,8.5,%,Assessor Data,Year-over-year industrial assessment growth
Los Angeles,Metro,industrial_tax_per_sf,2.22,$/SF,Calculated from assessed values,Annual property tax per industrial square foot
Los Angeles,Metro,late_payment_penalty_rate,10.0,%_annual,County Code,Annual penalty rate for late payment
Los Angeles,Metro,millage_rate,12.0,mills,County Assessor,"Millage rate per $1,000 assessed value"
Los Angeles,Metro,multifamily_assessed_value_per_unit,285000,$/unit,CoStar/Assessor Data,Average multifamily assessed value per unit
Los Angeles,Metro,multifamily_assessed_value_psf,285,$/SF,CoStar/Assessor Data,Average multifamily assessed value per square foot
Los Angeles,Metro,multifamily_assessment_yoy_growth,4.8,%,Assessor Data,Year-over-year multifamily assessment growth
Los Angeles,Metro,multifamily_tax_per_unit,3420,$/unit,Calculated from assessed values,Annual property tax per multifamily unit
Los Angeles,Metro,office_assessed_value_psf,385,$/SF,CoStar/Assessor Data,Average office assessed value per square foot
Los Angeles,Metro,office_assessment_yoy_growth,-3.2,%,Assessor Data,Year-over-year office assessment growth
Los Angeles,Metro,office_tax_per_sf,4.62,$/SF,Calculated from assessed values,Annual property tax per office square foot
Los Angeles,Metro,ontime_payment_rate,90,%,County Treasurer,Commercial property on-time payment rate
Los Angeles,Metro,properties_assessment_spike_15pct,12.5,%,Analysis Estimate,Est. % of properties with YoY assessment increase >15%
Los Angeles,Metro,properties_overassessed_110pct,8.5,%,Analysis Estimate,Est. % of properties assessed >110% of recent sale price
Los Angeles,Metro,properties_receiving_abatements,6.8,%,Assessor/Economic Development,Percentage of commercial properties receiving abatements
Los Angeles,Metro,property_tax_as_pct_noi,12.5,%,Industry Analysis,Property tax as percentage of net operating income
Los Angeles,Metro,retail_assessed_value_psf,325,$/SF,CoStar/Assessor Data,Average retail assessed value per square foot
Los Angeles,Metro,retail_assessment_yoy_growth,5.5,%,Assessor Data,Year-over-year retail assessment growth
Los Angeles,Metro,retail_tax_per_sf,3.9,$/SF,Calculated from assessed values,Annual property tax per retail square foot
Los Angeles,Metro,sales_comparison_usage,55,%,IAAO/Assessor Reports,Percentage using sales comparison approach
Los Angeles,Metro,tax_burden_rank,13,rank,Comparative Analysis,Tax burden ranking (1=highest burden)
Los Angeles,Metro,tax_lien_interest_rate,N/A,text,County Treasurer,No tax lien sales in this jurisdiction
Los Angeles,Metro,tax_lien_properties_sold,0,number,County Treasurer,Annual count of commercial properties at tax lien sale
Los Angeles,Metro,tax_lien_sale_frequency,None,text,County Treasurer,Frequency of tax lien sales
Los Angeles,Metro,tax_rate_5yr_change,10.2,%,Lincoln Institute/Local Data,5-year change in effective tax rate
Los Angeles,Metro,tif_district_count,8,number,Economic Development Office,Number of active Tax Increment Financing districts
Los Angeles,Metro,total_abatement_value,125,$MM,Economic Development,Total annual value of tax abatements granted
Los Angeles,Metro,typical_abatement_value,45,%,Economic Development,Typical percentage reduction for major abatement programs
Los Angeles,Metro,typical_bid_assessment,0.42,$/SF,BID Reports,Typical Business Improvement District assessment per SF
Miami,Metro,abatement_duration,20,years,Economic Development,Typical duration of tax abatement in years
Miami,Metro,abatement_programs_count,6,number,Economic Development,Number of active tax abatement/exemption programs
Miami,Metro,affordable_housing_exemption,100,%,Housing Authority,Typical exemption percentage for qualifying affordable housing
Miami,Metro,appeal_filing_rate,28,%,Assessor/Appeal Board Data,Percentage of commercial assessments appealed
Miami,Metro,appeal_resolution_time,8,months,Appeal Board Data,Median time from filing to resolution
Miami,Metro,appeal_success_rate,45,%,Appeal Board Data,Percentage of appeals resulting in assessment reduction
Miami,Metro,assessment_frequency,Annual,text,County Assessor,Reassessment cycle frequency
Miami,Metro,assessment_lag,8,months,Assessor Data,Lag between sale and reflected assessment
Miami,Metro,assessment_to_market_ratio,100,%,County Assessor,Target assessment as % of market value
Miami,Metro,assessment_to_sales_ratio,98,%,Assessor Data,Average assessment as % of actual sale price
Miami,Metro,average_appeal_cost,3000,$,Tax Consultant Surveys,Average cost to file and pursue property tax appeal
Miami,Metro,avg_appeal_reduction,14.2,%,Appeal Board Data,Average assessment reduction on successful appeal
Miami,Metro,avg_days_delinquent,172,days,County Treasurer,Average days delinquent for late payments
Miami,Metro,bid_district_count,18,number,Economic Development,Number of Business Improvement Districts
Miami,Metro,coefficient_of_dispersion,17.5,ratio,IAAO Standards,"Coefficient of dispersion (lower = more uniform, target <15)"
Miami,Metro,delinquency_rate,7.5,%,County Treasurer,Commercial property delinquency rate (90+ days)
Miami,Metro,effective_property_tax_rate,1.15,%,Altus Group/Lincoln Institute,Effective commercial property tax rate
Miami,Metro,historic_property_exemption,40,%,Historic Preservation Office,Typical percentage reduction for historic properties
Miami,Metro,hotel_assessed_value_per_key,185000,$/key,CoStar/Assessor Data,Average hotel assessed value per room
Miami,Metro,income_approach_usage,50,%,IAAO/Assessor Reports,Percentage of commercial assessments using income approach
Miami,Metro,industrial_assessed_value_psf,165,$/SF,CoStar/Assessor Data,Average industrial assessed value per square foot
Miami,Metro,industrial_assessment_yoy_growth,15.8,%,Assessor Data,Year-over-year industrial assessment growth
Miami,Metro,industrial_tax_per_sf,1.9,$/SF,Calculated from assessed values,Annual property tax per industrial square foot
Miami,Metro,late_payment_penalty_rate,3.0,%_annual,County Code,Annual penalty rate for late payment
Miami,Metro,millage_rate,11.5,mills,County Assessor,"Millage rate per $1,000 assessed value"
Miami,Metro,multifamily_assessed_value_per_unit,265000,$/unit,CoStar/Assessor Data,Average multifamily assessed value per unit
Miami,Metro,multifamily_assessed_value_psf,295,$/SF,CoStar/Assessor Data,Average multifamily assessed value per square foot
Miami,Metro,multifamily_assessment_yoy_growth,18.5,%,Assessor Data,Year-over-year multifamily assessment growth
Miami,Metro,multifamily_tax_per_unit,3048,$/unit,Calculated from assessed values,Annual property tax per multifamily unit
Miami,Metro,office_assessed_value_psf,325,$/SF,CoStar/Assessor Data,Average office assessed value per square foot
Miami,Metro,office_assessment_yoy_growth,5.2,%,Assessor Data,Year-over-year office assessment growth
Miami,Metro,office_tax_per_sf,3.74,$/SF,Calculated from assessed values,Annual property tax per office square foot
Miami,Metro,ontime_payment_rate,91,%,County Treasurer,Commercial property on-time payment rate
Miami,Metro,properties_assessment_spike_15pct,28.5,%,Analysis Estimate,Est. % of properties with YoY assessment increase >15%
Miami,Metro,properties_overassessed_110pct,15.8,%,Analysis Estimate,Est. % of properties assessed >110% of recent sale price
Miami,Metro,properties_receiving_abatements,15.2,%,Assessor/Economic Development,Percentage of commercial properties receiving abatements
Miami,Metro,property_tax_as_pct_noi,14.2,%,Industry Analysis,Property tax as percentage of net operating income
Miami,Metro,retail_assessed_value_psf,285,$/SF,CoStar/Assessor Data,Average retail assessed value per square foot
Miami,Metro,retail_assessment_yoy_growth,12.5,%,Assessor Data,Year-over-year retail assessment growth
Miami,Metro,retail_tax_per_sf,3.28,$/SF,Calculated from assessed values,Annual property tax per retail square foot
Miami,Metro,sales_comparison_usage,50,%,IAAO/Assessor Reports,Percentage using sales comparison approach
Miami,Metro,tax_burden_rank,14,rank,Comparative Analysis,Tax burden ranking (1=highest burden)
Miami,Metro,tax_lien_interest_rate,18.0,%_annual,County Treasurer,Interest rate on tax liens
Miami,Metro,tax_lien_properties_sold,225,number,County Treasurer,Annual count of commercial properties at tax lien sale
Miami,Metro,tax_lien_sale_frequency,Annual,text,County Treasurer,Frequency of tax lien sales
Miami,Metro,tax_rate_5yr_change,42.0,%,Lincoln Institute/Local Data,5-year change in effective tax rate
Miami,Metro,tif_district_count,12,number,Economic Development Office,Number of active Tax Increment Financing districts
Miami,Metro,total_abatement_value,165,$MM,Economic Development,Total annual value of tax abatements granted
Miami,Metro,typical_abatement_value,75,%,Economic Development,Typical percentage reduction for major abatement programs
Miami,Metro,typical_bid_assessment,0.38,$/SF,BID Reports,Typical Business Improvement District assessment per SF
Nashville,Metro,abatement_duration,10,years,Economic Development,Typical duration of tax abatement in years
Nashville,Metro,abatement_programs_count,3,number,Economic Development,Number of active tax abatement/exemption programs
Nashville,Metro,affordable_housing_exemption,70,%,Housing Authority,Typical exemption percentage for qualifying affordable housing
Nashville,Metro,appeal_filing_rate,26,%,Assessor/Appeal Board Data,Percentage of commercial assessments appealed
Nashville,Metro,appeal_resolution_time,8,months,Appeal Board Data,Median time from filing to resolution
Nashville,Metro,appeal_success_rate,50,%,Appeal Board Data,Percentage of appeals resulting in assessment reduction
Nashville,Metro,assessment_frequency,Annual,text,County Assessor,Reassessment cycle frequency
Nashville,Metro,assessment_lag,7,months,Assessor Data,Lag between sale and reflected assessment
Nashville,Metro,assessment_to_market_ratio,100,%,County Assessor,Target assessment as % of market value
Nashville,Metro,assessment_to_sales_ratio,100,%,Assessor Data,Average assessment as % of actual sale price
Nashville,Metro,average_appeal_cost,2400,$,Tax Consultant Surveys,Average cost to file and pursue property tax appeal
Nashville,Metro,avg_appeal_reduction,13.2,%,Appeal Board Data,Average assessment reduction on successful appeal
Nashville,Metro,avg_days_delinquent,145,days,County Treasurer,Average days delinquent for late payments
Nashville,Metro,bid_district_count,5,number,Economic Development,Number of Business Improvement Districts
Nashville,Metro,coefficient_of_dispersion,15.5,ratio,IAAO Standards,"Coefficient of dispersion (lower = more uniform, target <15)"
Nashville,Metro,delinquency_rate,5.5,%,County Treasurer,Commercial property delinquency rate (90+ days)
Nashville,Metro,effective_property_tax_rate,1.45,%,Altus Group/Lincoln Institute,Effective commercial property tax rate
Nashville,Metro,historic_property_exemption,35,%,Historic Preservation Office,Typical percentage reduction for historic properties
Nashville,Metro,hotel_assessed_value_per_key,135000,$/key,CoStar/Assessor Data,Average hotel assessed value per room
Nashville,Metro,income_approach_usage,40,%,IAAO/Assessor Reports,Percentage of commercial assessments using income approach
Nashville,Metro,industrial_assessed_value_psf,135,$/SF,CoStar/Assessor Data,Average industrial assessed value per square foot
Nashville,Metro,industrial_assessment_yoy_growth,22.5,%,Assessor Data,Year-over-year industrial assessment growth
Nashville,Metro,industrial_tax_per_sf,1.96,$/SF,Calculated from assessed values,Annual property tax per industrial square foot
Nashville,Metro,late_payment_penalty_rate,12.0,%_annual,County Code,Annual penalty rate for late payment
Nashville,Metro,millage_rate,14.5,mills,County Assessor,"Millage rate per $1,000 assessed value"
Nashville,Metro,multifamily_assessed_value_per_unit,205000,$/unit,CoStar/Assessor Data,Average multifamily assessed value per unit
Nashville,Metro,multifamily_assessed_value_psf,215,$/SF,CoStar/Assessor Data,Average multifamily assessed value per square foot
Nashville,Metro,multifamily_assessment_yoy_growth,18.2,%,Assessor Data,Year-over-year multifamily assessment growth
Nashville,Metro,multifamily_tax_per_unit,2973,$/unit,Calculated from assessed values,Annual property tax per multifamily unit
Nashville,Metro,office_assessed_value_psf,235,$/SF,CoStar/Assessor Data,Average office assessed value per square foot
Nashville,Metro,office_assessment_yoy_growth,8.8,%,Assessor Data,Year-over-year office assessment growth
Nashville,Metro,office_tax_per_sf,3.41,$/SF,Calculated from assessed values,Annual property tax per office square foot
Nashville,Metro,ontime_payment_rate,94,%,County Treasurer,Commercial property on-time payment rate
Nashville,Metro,properties_assessment_spike_15pct,28.2,%,Analysis Estimate,Est. % of properties with YoY assessment increase >15%
Nashville,Metro,properties_overassessed_110pct,14.8,%,Analysis Estimate,Est. % of properties assessed >110% of recent sale price
Nashville,Metro,properties_receiving_abatements,11.2,%,Assessor/Economic Development,Percentage of commercial properties receiving abatements
Nashville,Metro,property_tax_as_pct_noi,16.5,%,Industry Analysis,Property tax as percentage of net operating income
Nashville,Metro,retail_assessed_value_psf,205,$/SF,CoStar/Assessor Data,Average retail assessed value per square foot
Nashville,Metro,retail_assessment_yoy_growth,15.5,%,Assessor Data,Year-over-year retail assessment growth
Nashville,Metro,retail_tax_per_sf,2.97,$/SF,Calculated from assessed values,Annual property tax per retail square foot
Nashville,Metro,sales_comparison_usage,60,%,IAAO/Assessor Reports,Percentage using sales comparison approach
Nashville,Metro,tax_burden_rank,11,rank,Comparative Analysis,Tax burden ranking (1=highest burden)
Nashville,Metro,tax_lien_interest_rate,10.0,%_annual,County Treasurer,Interest rate on tax liens
Nashville,Metro,tax_lien_properties_sold,95,number,County Treasurer,Annual count of commercial properties at tax lien sale
Nashville,Metro,tax_lien_sale_frequency,Annual,text,County Treasurer,Frequency of tax lien sales
Nashville,Metro,tax_rate_5yr_change,35.8,%,Lincoln Institute/Local Data,5-year change in effective tax rate
Nashville,Metro,tif_district_count,6,number,Economic Development Office,Number of active Tax Increment Financing districts
Nashville,Metro,total_abatement_value,65,$MM,Economic Development,Total annual value of tax abatements granted
Nashville,Metro,typical_abatement_value,50,%,Economic Development,Typical percentage reduction for major abatement programs
Nashville,Metro,typical_bid_assessment,0.3,$/SF,BID Reports,Typical Business Improvement District assessment per SF
New York,Metro,abatement_duration,15,years,Economic Development,Typical duration of tax abatement in years
New York,Metro,abatement_programs_count,8,number,Economic Development,Number of active tax abatement/exemption programs
New York,Metro,affordable_housing_exemption,100,%,Housing Authority,Typical exemption percentage for qualifying affordable housing
New York,Metro,appeal_filing_rate,32,%,Assessor/Appeal Board Data,Percentage of commercial assessments appealed
New York,Metro,appeal_resolution_time,14,months,Appeal Board Data,Median time from filing to resolution
New York,Metro,appeal_success_rate,52,%,Appeal Board Data,Percentage of appeals resulting in assessment reduction
New York,Metro,assessment_frequency,Annual,text,County Assessor,Reassessment cycle frequency
New York,Metro,assessment_lag,9,months,Assessor Data,Lag between sale and reflected assessment
New York,Metro,assessment_to_market_ratio,100,%,County Assessor,Target assessment as % of market value
New York,Metro,assessment_to_sales_ratio,102,%,Assessor Data,Average assessment as % of actual sale price
New York,Metro,average_appeal_cost,4500,$,Tax Consultant Surveys,Average cost to file and pursue property tax appeal
New York,Metro,avg_appeal_reduction,15.5,%,Appeal Board Data,Average assessment reduction on successful appeal
New York,Metro,avg_days_delinquent,185,days,County Treasurer,Average days delinquent for late payments
New York,Metro,bid_district_count,76,number,Economic Development,Number of Business Improvement Districts
New York,Metro,coefficient_of_dispersion,18.5,ratio,IAAO Standards,"Coefficient of dispersion (lower = more uniform, target <15)"
New York,Metro,delinquency_rate,9.5,%,County Treasurer,Commercial property delinquency rate (90+ days)
New York,Metro,effective_property_tax_rate,4.1,%,Altus Group/Lincoln Institute,Effective commercial property tax rate
New York,Metro,historic_property_exemption,35,%,Historic Preservation Office,Typical percentage reduction for historic properties
New York,Metro,hotel_assessed_value_per_key,285000,$/key,CoStar/Assessor Data,Average hotel assessed value per room
New York,Metro,income_approach_usage,65,%,IAAO/Assessor Reports,Percentage of commercial assessments using income approach
New York,Metro,industrial_assessed_value_psf,285,$/SF,CoStar/Assessor Data,Average industrial assessed value per square foot
New York,Metro,industrial_assessment_yoy_growth,5.5,%,Assessor Data,Year-over-year industrial assessment growth
New York,Metro,industrial_tax_per_sf,11.69,$/SF,Calculated from assessed values,Annual property tax per industrial square foot
New York,Metro,late_payment_penalty_rate,18.0,%_annual,County Code,Annual penalty rate for late payment
New York,Metro,millage_rate,41.0,mills,County Assessor,"Millage rate per $1,000 assessed value"
New York,Metro,multifamily_assessed_value_per_unit,385000,$/unit,CoStar/Assessor Data,Average multifamily assessed value per unit
New York,Metro,multifamily_assessed_value_psf,425,$/SF,CoStar/Assessor Data,Average multifamily assessed value per square foot
New York,Metro,multifamily_assessment_yoy_growth,2.5,%,Assessor Data,Year-over-year multifamily assessment growth
New York,Metro,multifamily_tax_per_unit,15785,$/unit,Calculated from assessed values,Annual property tax per multifamily unit
New York,Metro,office_assessed_value_psf,625,$/SF,CoStar/Assessor Data,Average office assessed value per square foot
New York,Metro,office_assessment_yoy_growth,-8.5,%,Assessor Data,Year-over-year office assessment growth
New York,Metro,office_tax_per_sf,25.63,$/SF,Calculated from assessed values,Annual property tax per office square foot
New York,Metro,ontime_payment_rate,89,%,County Treasurer,Commercial property on-time payment rate
New York,Metro,properties_assessment_spike_15pct,8.5,%,Analysis Estimate,Est. % of properties with YoY assessment increase >15%
New York,Metro,properties_overassessed_110pct,18.5,%,Analysis Estimate,Est. % of properties assessed >110% of recent sale price
New York,Metro,properties_receiving_abatements,12.5,%,Assessor/Economic Development,Percentage of commercial properties receiving abatements
New York,Metro,property_tax_as_pct_noi,28.5,%,Industry Analysis,Property tax as percentage of net operating income
New York,Metro,retail_assessed_value_psf,485,$/SF,CoStar/Assessor Data,Average retail assessed value per square foot
New York,Metro,retail_assessment_yoy_growth,3.2,%,Assessor Data,Year-over-year retail assessment growth
New York,Metro,retail_tax_per_sf,19.89,$/SF,Calculated from assessed values,Annual property tax per retail square foot
New York,Metro,sales_comparison_usage,35,%,IAAO/Assessor Reports,Percentage using sales comparison approach
New York,Metro,tax_burden_rank,2,rank,Comparative Analysis,Tax burden ranking (1=highest burden)
New York,Metro,tax_lien_interest_rate,18.0,%_annual,County Treasurer,Interest rate on tax liens
New York,Metro,tax_lien_properties_sold,485,number,County Treasurer,Annual count of commercial properties at tax lien sale
New York,Metro,tax_lien_sale_frequency,Annual,text,County Treasurer,Frequency of tax lien sales
New York,Metro,tax_rate_5yr_change,8.5,%,Lincoln Institute/Local Data,5-year change in effective tax rate
New York,Metro,tif_district_count,15,number,Economic Development Office,Number of active Tax Increment Financing districts
New York,Metro,total_abatement_value,285,$MM,Economic Development,Total annual value of tax abatements granted
New York,Metro,typical_abatement_value,65,%,Economic Development,Typical percentage reduction for major abatement programs
New York,Metro,typical_bid_assessment,0.85,$/SF,BID Reports,Typical Business Improvement District assessment per SF
Phoenix,Metro,abatement_duration,8,years,Economic Development,Typical duration of tax abatement in years
Phoenix,Metro,abatement_programs_count,4,number,Economic Development,Number of active tax abatement/exemption programs
Phoenix,Metro,affordable_housing_exemption,75,%,Housing Authority,Typical exemption percentage for qualifying affordable housing
Phoenix,Metro,appeal_filing_rate,22,%,Assessor/Appeal Board Data,Percentage of commercial assessments appealed
Phoenix,Metro,appeal_resolution_time,7,months,Appeal Board Data,Median time from filing to resolution
Phoenix,Metro,appeal_success_rate,42,%,Appeal Board Data,Percentage of appeals resulting in assessment reduction
Phoenix,Metro,assessment_frequency,Annual,text,County Assessor,Reassessment cycle frequency
Phoenix,Metro,assessment_lag,6,months,Assessor Data,Lag between sale and reflected assessment
Phoenix,Metro,assessment_to_market_ratio,100,%,County Assessor,Target assessment as % of market value
Phoenix,Metro,assessment_to_sales_ratio,101,%,Assessor Data,Average assessment as % of actual sale price
Phoenix,Metro,average_appeal_cost,2200,$,Tax Consultant Surveys,Average cost to file and pursue property tax appeal
Phoenix,Metro,avg_appeal_reduction,11.8,%,Appeal Board Data,Average assessment reduction on successful appeal
Phoenix,Metro,avg_days_delinquent,118,days,County Treasurer,Average days delinquent for late payments
Phoenix,Metro,bid_district_count,8,number,Economic Development,Number of Business Improvement Districts
Phoenix,Metro,coefficient_of_dispersion,14.8,ratio,IAAO Standards,"Coefficient of dispersion (lower = more uniform, target <15)"
