period,year,category,metric_name,metric_value,metric_unit,data_source
2024-01-01,2024,Inventory & Sales,Inventory Contribution to GDP,0.2,Percentage Points,BEA
2024-01-01,2024,Inventory & Sales,Wholesale Inventories,652.0,Billion USD,Census Bureau
2024-01-01,2024,Inventory & Sales,Retail Inventories,885.0,Billion USD,Census Bureau
2025-01-01,2025,Inventory & Sales,Business Inventories,2052.0,Billion USD,Census Bureau
2025-01-01,2025,Inventory & Sales,Inventory-to-Sales Ratio,1.4,Ratio,Census Bureau
2025-01-01,2025,Inventory & Sales,Inventory Contribution to GDP,0.15,Percentage Points,BEA
2025-01-01,2025,Inventory & Sales,Wholesale Inventories,705.0,Billion USD,Census Bureau
2025-01-01,2025,Inventory & Sales,Retail Inventories,952.0,Billion USD,Census Bureau
2020-01-01,2020,Commercial Lending,C&I Loans Outstanding,1285.0,Billion USD,Federal Reserve
2020-01-01,2020,Commercial Lending,C&I Loan Growth YoY,-1.2,Percent,Federal Reserve
2020-01-01,2020,Commercial Lending,Small Business Lending,485.0,Billion USD,Federal Reserve/SBA
2020-01-01,2020,Commercial Lending,Average Loan Size,825.0,Thousand USD,Federal Reserve
2020-01-01,2020,Commercial Lending,Loan Approval Rate,72.5,Percent,Federal Reserve
2020-01-01,2020,Commercial Lending,C&I Interest Rate,3.85,Percent,Federal Reserve
2021-01-01,2021,Commercial Lending,C&I Loans Outstanding,1425.0,Billion USD,Federal Reserve
2021-01-01,2021,Commercial Lending,C&I Loan Growth YoY,10.9,Percent,Federal Reserve
2021-01-01,2021,Commercial Lending,Small Business Lending,625.0,Billion USD,Federal Reserve/SBA
2021-01-01,2021,Commercial Lending,Average Loan Size,948.0,Thousand USD,Federal Reserve
2021-01-01,2021,Commercial Lending,Loan Approval Rate,78.2,Percent,Federal Reserve
2021-01-01,2021,Commercial Lending,C&I Interest Rate,3.25,Percent,Federal Reserve
2022-01-01,2022,Commercial Lending,C&I Loans Outstanding,1585.0,Billion USD,Federal Reserve
2022-01-01,2022,Commercial Lending,C&I Loan Growth YoY,11.2,Percent,Federal Reserve
2022-01-01,2022,Commercial Lending,Small Business Lending,752.0,Billion USD,Federal Reserve/SBA
2022-01-01,2022,Commercial Lending,Average Loan Size,1125.0,Thousand USD,Federal Reserve
2022-01-01,2022,Commercial Lending,Loan Approval Rate,75.8,Percent,Federal Reserve
2022-01-01,2022,Commercial Lending,C&I Interest Rate,5.45,Percent,Federal Reserve
2023-01-01,2023,Commercial Lending,C&I Loans Outstanding,1695.0,Billion USD,Federal Reserve
2023-01-01,2023,Commercial Lending,C&I Loan Growth YoY,6.9,Percent,Federal Reserve
2023-01-01,2023,Commercial Lending,Small Business Lending,852.0,Billion USD,Federal Reserve/SBA
2023-01-01,2023,Commercial Lending,Average Loan Size,1285.0,Thousand USD,Federal Reserve
2023-01-01,2023,Commercial Lending,Loan Approval Rate,68.5,Percent,Federal Reserve
2023-01-01,2023,Commercial Lending,C&I Interest Rate,7.25,Percent,Federal Reserve
2024-01-01,2024,Commercial Lending,C&I Loans Outstanding,1825.0,Billion USD,Federal Reserve
2024-01-01,2024,Commercial Lending,C&I Loan Growth YoY,7.7,Percent,Federal Reserve
2024-01-01,2024,Commercial Lending,Small Business Lending,925.0,Billion USD,Federal Reserve/SBA
2024-01-01,2024,Commercial Lending,Average Loan Size,1425.0,Thousand USD,Federal Reserve
2024-01-01,2024,Commercial Lending,Loan Approval Rate,72.3,Percent,Federal Reserve
2024-01-01,2024,Commercial Lending,C&I Interest Rate,6.85,Percent,Federal Reserve
2025-01-01,2025,Commercial Lending,C&I Loans Outstanding,1965.0,Billion USD,Federal Reserve
2025-01-01,2025,Commercial Lending,C&I Loan Growth YoY,7.7,Percent,Federal Reserve
2025-01-01,2025,Commercial Lending,Small Business Lending,1025.0,Billion USD,Federal Reserve/SBA
2025-01-01,2025,Commercial Lending,Average Loan Size,1585.0,Thousand USD,Federal Reserve
2025-01-01,2025,Commercial Lending,Loan Approval Rate,75.2,Percent,Federal Reserve
2025-01-01,2025,Commercial Lending,C&I Interest Rate,6.25,Percent,Federal Reserve
2020-01-01,2020,Corporate Liquidity,Corporate Cash Holdings,2185.0,Billion USD,FactSet/Federal Reserve
2020-01-01,2020,Corporate Liquidity,Cash as % of Assets,12.5,Percent,FactSet
2020-01-01,2020,Corporate Liquidity,Current Ratio (S&P 500),1.82,Ratio,FactSet
2020-01-01,2020,Corporate Liquidity,Quick Ratio (S&P 500),1.45,Ratio,FactSet
2020-01-01,2020,Corporate Liquidity,Days of Cash on Hand,125.0,Days,FactSet
2021-01-01,2021,Corporate Liquidity,Corporate Cash Holdings,2845.0,Billion USD,FactSet/Federal Reserve
2021-01-01,2021,Corporate Liquidity,Cash as % of Assets,14.2,Percent,FactSet
2021-01-01,2021,Corporate Liquidity,Current Ratio (S&P 500),1.95,Ratio,FactSet
2021-01-01,2021,Corporate Liquidity,Quick Ratio (S&P 500),1.58,Ratio,FactSet
2021-01-01,2021,Corporate Liquidity,Days of Cash on Hand,135.0,Days,FactSet
2022-01-01,2022,Corporate Liquidity,Corporate Cash Holdings,2625.0,Billion USD,FactSet/Federal Reserve
2022-01-01,2022,Corporate Liquidity,Cash as % of Assets,13.8,Percent,FactSet
2022-01-01,2022,Corporate Liquidity,Current Ratio (S&P 500),1.88,Ratio,FactSet
2022-01-01,2022,Corporate Liquidity,Quick Ratio (S&P 500),1.52,Ratio,FactSet
2022-01-01,2022,Corporate Liquidity,Days of Cash on Hand,128.0,Days,FactSet
2023-01-01,2023,Corporate Liquidity,Corporate Cash Holdings,2785.0,Billion USD,FactSet/Federal Reserve
2023-01-01,2023,Corporate Liquidity,Cash as % of Assets,14.0,Percent,FactSet
2023-01-01,2023,Corporate Liquidity,Current Ratio (S&P 500),1.92,Ratio,FactSet
2023-01-01,2023,Corporate Liquidity,Quick Ratio (S&P 500),1.55,Ratio,FactSet
2023-01-01,2023,Corporate Liquidity,Days of Cash on Hand,132.0,Days,FactSet
2024-01-01,2024,Corporate Liquidity,Corporate Cash Holdings,3025.0,Billion USD,FactSet/Federal Reserve
2024-01-01,2024,Corporate Liquidity,Cash as % of Assets,14.8,Percent,FactSet
2024-01-01,2024,Corporate Liquidity,Current Ratio (S&P 500),1.98,Ratio,FactSet
2024-01-01,2024,Corporate Liquidity,Quick Ratio (S&P 500),1.62,Ratio,FactSet
2024-01-01,2024,Corporate Liquidity,Days of Cash on Hand,138.0,Days,FactSet
2025-01-01,2025,Corporate Liquidity,Corporate Cash Holdings,3285.0,Billion USD,FactSet/Federal Reserve
2025-01-01,2025,Corporate Liquidity,Cash as % of Assets,15.5,Percent,FactSet
2025-01-01,2025,Corporate Liquidity,Current Ratio (S&P 500),2.05,Ratio,FactSet
2025-01-01,2025,Corporate Liquidity,Quick Ratio (S&P 500),1.68,Ratio,FactSet
2025-01-01,2025,Corporate Liquidity,Days of Cash on Hand,145.0,Days,FactSet
2020-01-01,2020,CRE Demand Proxies,Office Space Absorption Correlation with EPS Growth,-18.5,Million SF,CoStar/FactSet Analysis
2020-01-01,2020,CRE Demand Proxies,Retail Sales Growth,3.2,Percent YoY,Census Bureau
2020-01-01,2020,CRE Demand Proxies,E-commerce Sales % of Total,15.2,Percent,Census Bureau
2020-01-01,2020,CRE Demand Proxies,Industrial Production Index,-8.5,Percent YoY,Federal Reserve
2020-01-01,2020,CRE Demand Proxies,Tech Sector Employment Growth,-2.5,Percent YoY,BLS
2021-01-01,2021,CRE Demand Proxies,Office Space Absorption Correlation with EPS Growth,12.5,Million SF,CoStar/FactSet Analysis
2021-01-01,2021,CRE Demand Proxies,Retail Sales Growth,16.8,Percent YoY,Census Bureau
2021-01-01,2021,CRE Demand Proxies,E-commerce Sales % of Total,18.5,Percent,Census Bureau
2021-01-01,2021,CRE Demand Proxies,Industrial Production Index,11.2,Percent YoY,Federal Reserve
2021-01-01,2021,CRE Demand Proxies,Tech Sector Employment Growth,8.5,Percent YoY,BLS
2022-01-01,2022,CRE Demand Proxies,Office Space Absorption Correlation with EPS Growth,-5.2,Million SF,CoStar/FactSet Analysis
2022-01-01,2022,CRE Demand Proxies,Retail Sales Growth,5.2,Percent YoY,Census Bureau
2022-01-01,2022,CRE Demand Proxies,E-commerce Sales % of Total,19.8,Percent,Census Bureau
2022-01-01,2022,CRE Demand Proxies,Industrial Production Index,3.5,Percent YoY,Federal Reserve
2022-01-01,2022,CRE Demand Proxies,Tech Sector Employment Growth,2.8,Percent YoY,BLS
2023-01-01,2023,CRE Demand Proxies,Office Space Absorption Correlation with EPS Growth,-8.5,Million SF,CoStar/FactSet Analysis
2023-01-01,2023,CRE Demand Proxies,Retail Sales Growth,2.8,Percent YoY,Census Bureau
2023-01-01,2023,CRE Demand Proxies,E-commerce Sales % of Total,21.2,Percent,Census Bureau
2023-01-01,2023,CRE Demand Proxies,Industrial Production Index,1.2,Percent YoY,Federal Reserve
2023-01-01,2023,CRE Demand Proxies,Tech Sector Employment Growth,-1.5,Percent YoY,BLS
2024-01-01,2024,CRE Demand Proxies,Office Space Absorption Correlation with EPS Growth,2.5,Million SF,CoStar/FactSet Analysis
2024-01-01,2024,CRE Demand Proxies,Retail Sales Growth,4.5,Percent YoY,Census Bureau
2024-01-01,2024,CRE Demand Proxies,E-commerce Sales % of Total,22.5,Percent,Census Bureau
2024-01-01,2024,CRE Demand Proxies,Industrial Production Index,2.5,Percent YoY,Federal Reserve
2024-01-01,2024,CRE Demand Proxies,Tech Sector Employment Growth,5.2,Percent YoY,BLS
2025-01-01,2025,CRE Demand Proxies,Office Space Absorption Correlation with EPS Growth,5.8,Million SF,CoStar/FactSet Analysis
2025-01-01,2025,CRE Demand Proxies,Retail Sales Growth,3.8,Percent YoY,Census Bureau
2025-01-01,2025,CRE Demand Proxies,E-commerce Sales % of Total,23.8,Percent,Census Bureau
2025-01-01,2025,CRE Demand Proxies,Industrial Production Index,3.2,Percent YoY,Federal Reserve
2025-01-01,2025,CRE Demand Proxies,Tech Sector Employment Growth,8.5,Percent YoY,BLS
