market,zone_type,zone_code,max_far,max_height_feet,min_lot_size_sf,parking_requirement,setback_front_feet,use_restrictions,data_source,effective_date
"Phoenix, AZ",Mixed-Use,MX-1,1.77,61.0,2602,1.0 space per unit + 2.0 per 1000 SF commercial,11,"Ground floor retail, upper residential",Municipal Zoning Code,2024-01-01
"Phoenix, AZ",Mixed-Use,MX-2,3.93,112.0,2213,0.75 space per unit + 1.5 per 1000 SF commercial,7,"Residential, retail, office mix",Municipal Zoning Code,2024-01-01
"Phoenix, AZ",Mixed-Use,MX-3,7.93,199.0,677,0.5 space per unit + 1.0 per 1000 SF commercial,2,"Urban mixed-use, minimal setbacks",Municipal Zoning Code,2024-01-01
"Phoenix, AZ",Industrial,I-1,1.16,39.0,8806,1 space per 1000 SF,24,"Light manufacturing, warehouse",Municipal Zoning Code,2024-01-01
"Phoenix, AZ",Industrial,I-2,1.61,63.0,3235,0.75 space per 1000 SF,35,"Manufacturing, distribution",Municipal Zoning Code,2024-01-01
"Nashville, TN",Residential,R-1,0.52,27.0,6737,2 spaces per unit,20,Single-family detached only,Municipal Zoning Code,2024-01-01
"Nashville, TN",Residential,R-2,0.7,33.0,5941,1.5-2 spaces per unit,16,"Single-family, ADUs allowed",Municipal Zoning Code,2024-01-01
"Nashville, TN",Residential,R-3,1.42,48.0,3282,1.0-1.5 spaces per unit,10,"Duplex, triplex, fourplex allowed",Municipal Zoning Code,2024-01-01
"Nashville, TN",Residential,R-4,2.36,67.0,2637,0.75-1.25 spaces per unit,9,Multifamily up to 6 stories,Municipal Zoning Code,2024-01-01
"Nashville, TN",Residential,R-5,6.76,204.0,2005,0.5-1.0 spaces per unit,8,High-rise multifamily allowed,Municipal Zoning Code,2024-01-01
"Nashville, TN",Commercial,C-1,1.34,36.0,2453,3-4 spaces per 1000 SF,13,"Retail, office, personal services",Municipal Zoning Code,2024-01-01
"Nashville, TN",Commercial,C-2,2.54,61.0,2691,2.5-3.5 spaces per 1000 SF,10,"Broader retail, entertainment",Municipal Zoning Code,2024-01-01
"Nashville, TN",Commercial,C-3,4.42,120.0,1871,2.0-3.0 spaces per 1000 SF,10,"Large-format retail, malls",Municipal Zoning Code,2024-01-01
"Nashville, TN",Mixed-Use,MX-1,2.05,52.0,2429,1.0 space per unit + 2.0 per 1000 SF commercial,10,"Ground floor retail, upper residential",Municipal Zoning Code,2024-01-01
"Nashville, TN",Mixed-Use,MX-2,3.61,85.0,2477,0.75 space per unit + 1.5 per 1000 SF commercial,6,"Residential, retail, office mix",Municipal Zoning Code,2024-01-01
"Nashville, TN",Mixed-Use,MX-3,7.89,299.0,1913,0.5 space per unit + 1.0 per 1000 SF commercial,1,"Urban mixed-use, minimal setbacks",Municipal Zoning Code,2024-01-01
"Nashville, TN",Industrial,I-1,0.64,46.0,7265,1 space per 1000 SF,24,"Light manufacturing, warehouse",Municipal Zoning Code,2024-01-01
"Nashville, TN",Industrial,I-2,1.98,68.0,5318,0.75 space per 1000 SF,23,"Manufacturing, distribution",Municipal Zoning Code,2024-01-01
"Charlotte, NC",Residential,R-1,0.52,28.0,7956,2 spaces per unit,17,Single-family detached only,Municipal Zoning Code,2024-01-01
"Charlotte, NC",Residential,R-2,0.58,37.0,4018,1.5-2 spaces per unit,16,"Single-family, ADUs allowed",Municipal Zoning Code,2024-01-01
"Charlotte, NC",Residential,R-3,1.03,41.0,3696,1.0-1.5 spaces per unit,15,"Duplex, triplex, fourplex allowed",Municipal Zoning Code,2024-01-01
"Charlotte, NC",Residential,R-4,3.42,74.0,3041,0.75-1.25 spaces per unit,11,Multifamily up to 6 stories,Municipal Zoning Code,2024-01-01
"Charlotte, NC",Residential,R-5,4.41,122.0,1582,0.5-1.0 spaces per unit,8,High-rise multifamily allowed,Municipal Zoning Code,2024-01-01
"Charlotte, NC",Commercial,C-1,1.11,40.0,3977,3-4 spaces per 1000 SF,10,"Retail, office, personal services",Municipal Zoning Code,2024-01-01
"Charlotte, NC",Commercial,C-2,1.88,80.0,1733,2.5-3.5 spaces per 1000 SF,8,"Broader retail, entertainment",Municipal Zoning Code,2024-01-01
"Charlotte, NC",Commercial,C-3,4.2,90.0,2289,2.0-3.0 spaces per 1000 SF,10,"Large-format retail, malls",Municipal Zoning Code,2024-01-01
"Charlotte, NC",Mixed-Use,MX-1,1.55,48.0,2652,1.0 space per unit + 2.0 per 1000 SF commercial,10,"Ground floor retail, upper residential",Municipal Zoning Code,2024-01-01
"Charlotte, NC",Mixed-Use,MX-2,3.17,86.0,2142,0.75 space per unit + 1.5 per 1000 SF commercial,8,"Residential, retail, office mix",Municipal Zoning Code,2024-01-01
"Charlotte, NC",Mixed-Use,MX-3,9.64,308.0,962,0.5 space per unit + 1.0 per 1000 SF commercial,4,"Urban mixed-use, minimal setbacks",Municipal Zoning Code,2024-01-01
"Charlotte, NC",Industrial,I-1,0.79,49.0,7435,1 space per 1000 SF,24,"Light manufacturing, warehouse",Municipal Zoning Code,2024-01-01
"Charlotte, NC",Industrial,I-2,1.99,61.0,3493,0.75 space per 1000 SF,23,"Manufacturing, distribution",Municipal Zoning Code,2024-01-01
